received_ts,session,message_id,created_ts,from_session,duplicate
1789772323.093,5,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772323.285,6,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772323.501,7,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772323.701,8,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772323.902,9,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772324.103,10,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772324.308,11,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772324.507,12,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772324.706,13,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772324.935,14,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772325.099,0,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772325.126,15,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772325.293,1,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772325.333,16,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772325.546,17,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772325.693,3,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772325.734,18,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772325.895,4,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772325.938,19,ff2219d5-db52-4d38-b3ec-2bb3d816a433,1789772321.000,2,0
1789772326.099,5,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772326.148,20,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772326.297,6,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772326.353,21,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772326.511,7,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772326.553,22,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772326.706,8,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772326.765,23,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772326.904,9,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772326.962,24,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772327.107,10,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772327.311,11,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772327.514,12,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772327.942,14,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772328.101,0,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772328.136,15,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772328.300,1,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772328.343,16,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772328.494,2,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772328.555,17,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772328.700,3,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772328.740,18,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772328.902,4,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772328.942,19,5607d0b9-74b8-4d27-9147-7e266703f138,1789772323.000,13,0
1789772329.105,5,6c3b918d-8dd5-4757-849b-5e9d275e4689,1789772327.000,14,0
1789772329.105,5,c894b719-2fc8-4c7e-9ae2-f495a1b07fa3,1789772327.000,8,0
1789772329.105,5,02b3cf3f-20ea-4ea2-aba7-18633a16c86a,1789772328.000,11,0
1789772329.155,20,6c3b918d-8dd5-4757-849b-5e9d275e4689,1789772327.000,14,0
1789772329.155,20,c894b719-2fc8-4c7e-9ae2-f495a1b07fa3,1789772327.000,8,0
1789772329.155,20,02b3cf3f-20ea-4ea2-aba7-18633a16c86a,1789772328.000,11,0
1789772329.305,6,6c3b918d-8dd5-4757-849b-5e9d275e4689,1789772327.000,14,0
1789772329.305,6,c894b719-2fc8-4c7e-9ae2-f495a1b07fa3,1789772327.000,8,0
1789772329.305,6,02b3cf3f-20ea-4ea2-aba7-18633a16c86a,1789772328.000,11,0
1789772329.356,21,6c3b918d-8dd5-4757-849b-5e9d275e4689,1789772327.000,14,0
1789772329.356,21,c894b719-2fc8-4c7e-9ae2-f495a1b07fa3,1789772327.000,8,0
1789772329.356,21,02b3cf3f-20ea-4ea2-aba7-18633a16c86a,1789772328.000,11,0
1789772329.517,7,6c3b918d-8dd5-4757-849b-5e9d275e4689,1789772327.000,14,0
1789772329.517,7,c894b719-2fc8-4c7e-9ae2-f495a1b07fa3,1789772327.000,8,0
1789772329.517,7,02b3cf3f-20ea-4ea2-aba7-18633a16c86a,1789772328.000,11,0
1789772329.556,22,6c3b918d-8dd5-4757-849b-5e9d275e4689,1789772327.000,14,0
1789772329.556,22,c894b719-2fc8-4c7e-9ae2-f495a1b07fa3,1789772327.000,8,0
1789772329.556,22,02b3cf3f-20ea-4ea2-aba7-18633a16c86a,1789772328.000,11,0
