t,phase,active,starting,reconnecting,failed,stopped,requests_total,rps_60s,expected_rps,non2xx_pct_60s,poll_p95_60s,poll_n_60s,heap_mb,rss_mb,threads,chat_sent,chat_delivered,dup
5.3,hold,1,0,0,0,0,5,0.08,0.46,0.00,370,1,37,130,22,0,0,0
10.3,hold,1,0,0,0,0,8,0.13,0.46,0.00,383,3,40,134,22,1,0,0
15.3,hold,1,0,0,0,0,9,0.15,0.46,0.00,499,4,41,135,22,1,0,0
20.3,hold,1,0,0,0,0,12,0.20,0.46,0.00,499,6,11,142,22,2,0,0
25.4,hold,1,0,0,0,0,14,0.23,0.46,0.00,499,8,14,143,22,2,0,0
30.4,hold,1,0,0,0,0,16,0.27,0.46,0.00,499,9,14,143,22,3,0,0
35.4,hold,1,0,0,0,0,18,0.30,0.46,0.00,499,11,14,126,22,3,0,0
40.4,hold,1,0,0,0,0,21,0.35,0.46,0.00,414,13,16,126,22,4,0,0
45.4,hold,1,0,0,0,0,22,0.37,0.46,0.00,414,14,16,127,22,4,0,0
50.5,hold,1,0,0,0,0,25,0.42,0.46,0.00,443,16,18,124,22,5,0,0
55.5,hold,1,0,0,0,0,27,0.45,0.46,0.00,443,18,18,122,22,5,0,0
60.5,hold,1,0,0,0,0,30,0.43,0.46,0.00,443,19,20,122,19,6,0,0
65.5,hold,1,0,0,0,0,32,0.45,0.46,0.00,443,20,21,123,19,6,0,0
70.5,hold,1,0,0,0,0,35,0.45,0.46,0.00,456,20,22,123,19,7,0,0
75.6,hold,1,0,0,0,0,36,0.45,0.46,0.00,443,20,22,123,19,7,0,0
80.6,hold,1,0,0,0,0,39,0.45,0.46,0.00,443,20,23,123,19,8,0,0
85.6,hold,1,0,0,0,0,41,0.45,0.46,0.00,443,20,24,123,19,8,0,0
90.6,hold,1,0,0,0,0,43,0.43,0.46,0.00,443,19,24,123,19,9,0,0
95.6,hold,1,0,0,0,0,45,0.45,0.46,0.00,443,20,25,124,19,9,0,0
100.7,hold,1,0,0,0,0,48,0.45,0.46,0.00,443,20,25,124,19,10,0,0
105.7,hold,1,0,0,0,0,49,0.43,0.46,0.00,456,19,26,124,19,10,0,0
110.7,hold,1,0,0,0,0,52,0.45,0.46,0.00,456,20,27,124,18,11,0,0
115.7,hold,1,0,0,0,0,54,0.45,0.46,0.00,516,20,27,124,18,11,0,0
120.8,hold,1,0,0,0,0,58,0.45,0.46,0.00,516,19,28,125,19,12,0,0
125.8,hold,1,0,0,0,0,60,0.47,0.46,0.00,516,20,29,125,19,12,0,0
130.8,hold,1,0,0,0,0,63,0.47,0.46,0.00,516,20,30,87,19,13,0,0
135.8,hold,1,0,0,0,0,64,0.45,0.46,0.00,516,19,30,88,19,13,0,0
140.9,hold,1,0,0,0,0,67,0.47,0.46,0.00,516,20,31,74,19,14,0,0
145.9,hold,1,0,0,0,0,69,0.47,0.46,0.00,516,20,32,75,19,14,0,0
150.9,hold,1,0,0,0,0,71,0.45,0.46,0.00,516,19,32,76,19,15,0,0
155.9,hold,1,0,0,0,0,73,0.47,0.46,0.00,516,20,33,90,19,15,0,0
160.9,hold,1,0,0,0,0,76,0.47,0.46,0.00,516,20,34,92,19,16,0,0
166.0,hold,1,0,0,0,0,77,0.45,0.46,0.00,457,19,34,92,19,16,0,0
171.0,hold,1,0,0,0,0,80,0.47,0.46,0.00,457,20,35,93,19,17,0,0
176.0,hold,1,0,0,0,0,82,0.47,0.46,0.00,445,20,36,91,19,17,0,0
181.0,hold,1,0,0,0,0,85,0.43,0.46,0.00,445,19,36,92,19,18,0,0
186.0,hold,1,0,0,0,0,87,0.45,0.46,0.00,457,20,36,93,19,18,0,0
191.0,hold,1,0,0,0,0,90,0.45,0.46,0.00,457,20,37,94,19,19,0,0
196.1,hold,1,0,0,0,0,91,0.43,0.46,0.00,457,19,37,95,19,19,0,0
201.1,hold,1,0,0,0,0,94,0.45,0.46,0.00,457,20,38,95,19,20,0,0
206.1,hold,1,0,0,0,0,96,0.45,0.46,0.00,457,20,39,96,19,20,0,0
211.1,hold,1,0,0,0,0,98,0.43,0.46,0.00,457,19,39,97,19,21,0,0
216.1,hold,1,0,0,0,0,100,0.45,0.46,0.00,457,20,40,97,19,21,0,0
221.2,hold,1,0,0,0,0,103,0.45,0.46,0.00,457,20,41,98,19,22,0,0
226.2,hold,1,0,0,0,0,104,0.43,0.46,0.00,418,19,41,98,19,22,0,0
231.2,hold,1,0,0,0,0,107,0.45,0.46,0.00,418,20,42,99,19,23,0,0
236.2,hold,1,0,0,0,0,109,0.45,0.46,0.00,512,20,42,83,19,23,0,0
241.2,hold,1,0,0,0,0,113,0.45,0.46,0.00,454,19,43,74,19,24,0,0
246.2,hold,1,0,0,0,0,115,0.47,0.46,0.00,454,20,44,75,19,24,0,0
251.3,hold,1,0,0,0,0,118,0.47,0.46,0.00,454,20,45,80,19,25,0,0
256.3,hold,1,0,0,0,0,119,0.45,0.46,0.00,454,19,45,91,19,25,0,0
261.3,hold,1,0,0,0,0,122,0.47,0.46,0.00,454,20,46,92,19,26,0,0
