t,phase,active,starting,reconnecting,failed,stopped,requests_total,rps_60s,expected_rps,non2xx_pct_60s,poll_p95_60s,poll_n_60s,heap_mb,rss_mb,threads,chat_sent,chat_delivered,dup
5.3,hold,1,0,0,0,0,5,0.08,0.46,0.00,442,1,37,131,21,0,0,0
10.3,hold,1,0,0,0,0,8,0.13,0.46,0.00,442,3,40,113,21,1,0,0
15.3,hold,1,0,0,0,0,9,0.15,0.46,0.00,442,4,40,108,21,1,0,0
20.4,hold,1,0,0,0,0,12,0.20,0.46,0.00,534,6,41,110,21,2,0,0
25.4,hold,1,0,0,0,0,14,0.23,0.46,0.00,534,8,13,127,21,2,0,0
30.4,hold,1,0,0,0,0,16,0.27,0.46,0.00,534,9,14,102,21,3,0,0
35.4,hold,1,0,0,0,0,18,0.30,0.46,0.00,534,11,15,91,21,3,0,0
40.4,hold,1,0,0,0,0,21,0.35,0.46,0.00,442,13,16,91,21,4,0,0
45.4,hold,1,0,0,0,0,22,0.37,0.46,0.00,442,14,16,91,21,4,0,0
50.4,hold,1,0,0,0,0,25,0.42,0.46,0.00,442,16,17,94,21,5,0,0
55.5,hold,1,0,0,0,0,27,0.45,0.46,0.00,442,18,17,88,21,5,0,0
60.5,hold,1,0,0,0,0,30,0.43,0.46,0.00,442,19,19,77,20,6,0,0
65.5,hold,1,0,0,0,0,32,0.45,0.46,0.00,437,20,20,79,18,6,0,0
70.5,hold,1,0,0,0,0,35,0.45,0.46,0.00,437,20,21,81,19,7,0,0
75.5,hold,1,0,0,0,0,36,0.45,0.46,0.00,437,20,21,67,19,7,0,0
80.5,hold,1,0,0,0,0,39,0.45,0.46,0.00,401,20,23,68,19,8,0,0
85.5,hold,1,0,0,0,0,41,0.45,0.46,0.00,401,20,23,72,19,8,0,0
90.6,hold,1,0,0,0,0,43,0.45,0.46,0.00,401,20,23,70,19,9,0,0
95.6,hold,1,0,0,0,0,45,0.45,0.46,0.00,397,20,24,71,19,9,0,0
100.6,hold,1,0,0,0,0,48,0.45,0.46,0.00,397,20,25,71,19,10,0,0
105.6,hold,1,0,0,0,0,49,0.43,0.46,0.00,397,19,26,71,19,10,0,0
110.6,hold,1,0,0,0,0,52,0.45,0.46,0.00,397,20,26,67,19,11,0,0
115.6,hold,1,0,0,0,0,54,0.45,0.46,0.00,397,20,27,66,19,11,0,0
120.7,hold,1,0,0,0,0,58,0.45,0.46,0.00,401,19,28,67,19,12,0,0
125.7,hold,1,0,0,0,0,60,0.47,0.46,0.00,419,20,29,67,19,12,0,0
130.7,hold,1,0,0,0,0,63,0.47,0.46,0.00,419,20,29,69,19,13,0,0
135.7,hold,1,0,0,0,0,64,0.45,0.46,0.00,419,19,30,69,19,13,0,0
140.7,hold,1,0,0,0,0,67,0.47,0.46,0.00,419,20,31,69,19,14,0,0
145.7,hold,1,0,0,0,0,69,0.47,0.46,0.00,419,20,31,70,19,14,0,0
150.7,hold,1,0,0,0,0,71,0.45,0.46,0.00,419,19,31,72,19,15,0,0
155.8,hold,1,0,0,0,0,73,0.47,0.46,0.00,419,20,33,73,19,15,0,0
160.8,hold,1,0,0,0,0,76,0.47,0.46,0.00,419,20,33,77,19,16,0,0
165.8,hold,1,0,0,0,0,77,0.45,0.46,0.00,419,19,33,78,19,16,0,0
170.8,hold,1,0,0,0,0,80,0.47,0.46,0.00,419,20,34,63,19,17,0,0
175.8,hold,1,0,0,0,0,82,0.47,0.46,0.00,419,20,35,62,19,17,0,0
180.8,hold,1,0,0,0,0,85,0.43,0.46,0.00,418,19,35,66,18,18,0,0
185.8,hold,1,0,0,0,0,87,0.45,0.46,0.00,418,20,36,67,18,18,0,0
190.8,hold,1,0,0,0,0,90,0.45,0.46,0.00,418,20,37,69,18,19,0,0
195.9,hold,1,0,0,0,0,91,0.43,0.46,0.00,418,19,38,71,18,19,0,0
200.9,hold,1,0,0,0,0,94,0.45,0.46,0.00,424,20,38,71,18,20,0,0
205.9,hold,1,0,0,0,0,96,0.45,0.46,0.00,424,20,39,72,18,20,0,0
210.9,hold,1,0,0,0,0,98,0.43,0.46,0.00,424,19,39,73,19,21,0,0
215.9,hold,1,0,0,0,0,100,0.45,0.46,0.00,424,20,40,71,19,21,0,0
220.9,hold,1,0,0,0,0,103,0.45,0.46,0.00,424,20,41,73,19,22,0,0
225.9,hold,1,0,0,0,0,104,0.43,0.46,0.00,424,19,42,73,19,22,0,0
230.9,hold,1,0,0,0,0,107,0.45,0.46,0.00,424,20,42,74,19,23,0,0
236.0,hold,1,0,0,0,0,109,0.45,0.46,0.00,424,20,42,75,19,23,0,0
241.0,hold,1,0,0,0,0,113,0.45,0.46,0.00,412,19,43,76,19,24,0,0
