t,phase,active,starting,reconnecting,failed,stopped,requests_total,rps_60s,expected_rps,non2xx_pct_60s,poll_p95_60s,poll_n_60s,heap_mb,rss_mb,threads,chat_sent,chat_delivered,dup
5.2,hold,1,0,0,0,0,5,0.08,0.46,0.00,25,1,37,131,19,0,0,0
10.3,hold,1,0,0,0,0,8,0.13,0.46,0.00,27,3,40,135,19,1,0,0
15.3,hold,1,0,0,0,0,9,0.15,0.46,0.00,27,4,41,99,19,1,0,0
20.3,hold,1,0,0,0,0,12,0.20,0.46,0.00,27,6,11,116,19,2,0,0
25.3,hold,1,0,0,0,0,14,0.23,0.46,0.00,31,8,13,120,19,2,0,0
30.3,hold,1,0,0,0,0,16,0.27,0.46,0.00,31,9,14,121,19,3,0,0
35.3,hold,1,0,0,0,0,18,0.30,0.46,0.00,31,11,15,120,19,3,0,0
40.3,hold,1,0,0,0,0,21,0.35,0.46,0.00,363,13,17,117,19,4,0,0
45.4,hold,1,0,0,0,0,22,0.37,0.46,0.00,383,14,17,114,19,4,0,0
50.4,hold,1,0,0,0,0,25,0.42,0.46,0.00,391,16,17,57,19,5,0,0
55.4,hold,1,0,0,0,0,27,0.45,0.46,0.00,409,18,19,60,19,5,0,0
60.4,hold,1,0,0,0,0,30,0.42,0.46,0.00,409,19,19,63,17,6,0,0
65.4,hold,1,0,0,0,0,32,0.45,0.46,0.00,417,20,20,62,17,6,0,0
70.4,hold,1,0,0,0,0,35,0.45,0.46,0.00,417,20,21,65,17,7,0,0
75.4,hold,1,0,0,0,0,36,0.43,0.46,0.00,417,19,21,66,17,7,0,0
80.5,hold,1,0,0,0,0,39,0.45,0.46,0.00,419,20,22,69,17,8,0,0
85.5,hold,1,0,0,0,0,41,0.45,0.46,0.00,425,20,24,72,17,8,0,0
90.5,hold,1,0,0,0,0,43,0.43,0.46,0.00,425,19,24,72,17,9,0,0
95.5,hold,1,0,0,0,0,45,0.45,0.46,0.00,425,20,24,85,17,9,0,0
100.5,hold,1,0,0,0,0,48,0.45,0.46,0.00,444,20,25,84,16,10,0,0
105.5,hold,1,0,0,0,0,49,0.43,0.46,0.00,444,19,26,85,16,10,0,0
110.5,hold,1,0,0,0,0,52,0.45,0.46,0.00,444,20,26,78,16,11,0,0
115.5,hold,1,0,0,0,0,54,0.45,0.46,0.00,444,20,27,79,16,11,0,0
120.6,hold,1,0,0,0,0,58,0.45,0.46,0.00,444,19,29,83,18,12,0,0
125.6,hold,1,0,0,0,0,60,0.47,0.46,0.00,444,20,29,81,18,12,0,0
130.6,hold,1,0,0,0,0,63,0.47,0.46,0.00,444,20,30,80,18,13,0,0
135.6,hold,1,0,0,0,0,65,0.47,0.46,0.00,425,20,31,78,18,13,0,0
140.6,hold,1,0,0,0,0,67,0.47,0.46,0.00,425,20,31,80,18,14,0,0
145.6,hold,1,0,0,0,0,69,0.47,0.46,0.00,418,20,32,71,18,14,0,0
150.6,hold,1,0,0,0,0,71,0.45,0.46,0.00,418,19,32,71,18,15,0,0
