t,phase,active,starting,reconnecting,failed,stopped,requests_total,rps_60s,expected_rps,non2xx_pct_60s,poll_p95_60s,poll_n_60s,heap_mb,rss_mb,threads,chat_sent,chat_delivered,dup
5.3,hold,1,0,0,0,0,5,0.08,0.46,0.00,357,1,38,131,19,0,0,0
10.3,hold,1,0,0,0,0,8,0.13,0.46,0.00,384,3,41,108,19,1,0,0
15.3,hold,1,0,0,0,0,9,0.15,0.46,0.00,384,4,41,84,19,1,0,0
20.3,hold,1,0,0,0,0,12,0.20,0.46,0.00,390,6,14,95,19,2,1,0
25.3,hold,1,0,0,0,0,14,0.23,0.46,0.00,608,8,14,101,19,2,1,0
30.4,hold,1,0,0,0,0,16,0.27,0.46,0.00,608,9,14,63,19,3,1,0
35.4,hold,1,0,0,0,0,18,0.30,0.46,0.00,608,11,15,64,19,3,2,0
40.4,hold,1,0,0,0,0,21,0.35,0.46,0.00,496,13,17,66,19,4,2,1
45.4,hold,1,0,0,0,0,22,0.37,0.46,0.00,496,14,17,52,19,4,2,1
50.4,hold,1,0,0,0,0,25,0.42,0.46,0.00,496,16,19,56,19,5,2,1
55.4,hold,1,0,0,0,0,27,0.45,0.46,0.00,496,18,19,49,19,5,2,1
60.5,hold,1,0,0,0,0,29,0.42,0.46,0.00,496,19,20,56,18,6,3,1
65.5,hold,1,0,0,0,0,32,0.45,0.46,0.00,496,20,21,59,17,6,3,1
70.5,hold,1,0,0,0,0,35,0.45,0.46,0.00,496,20,22,62,17,7,3,1
75.5,hold,1,0,0,0,0,36,0.45,0.46,0.00,496,20,22,63,17,7,3,1
80.5,hold,1,0,0,0,0,39,0.45,0.46,0.00,496,20,23,65,17,8,4,1
85.5,hold,1,0,0,0,0,41,0.45,0.46,0.00,464,20,24,69,17,8,4,1
90.5,hold,1,0,0,0,0,43,0.45,0.46,0.00,464,20,24,67,17,9,4,1
95.6,hold,1,0,0,0,0,45,0.45,0.46,0.00,447,20,25,50,17,9,5,1
100.6,hold,1,0,0,0,0,48,0.45,0.46,0.00,447,20,26,55,17,10,5,2
105.6,hold,1,0,0,0,0,49,0.45,0.46,0.00,447,20,26,58,17,10,5,2
110.6,hold,1,0,0,0,0,52,0.45,0.46,0.00,447,20,28,63,17,11,5,2
115.6,hold,1,0,0,0,0,54,0.45,0.46,0.00,447,20,28,63,17,11,5,2
120.6,hold,1,0,0,0,0,58,0.45,0.46,0.00,447,19,28,67,17,12,6,3
125.6,hold,1,0,0,0,0,60,0.47,0.46,0.00,447,20,29,76,17,12,6,3
130.7,hold,1,0,0,0,0,63,0.47,0.46,0.00,447,20,30,69,17,13,6,3
135.7,hold,1,0,0,0,0,64,0.45,0.46,0.00,447,19,30,68,17,13,6,3
140.7,hold,1,0,0,0,0,67,0.47,0.46,0.00,447,20,31,71,17,14,7,3
145.7,hold,1,0,0,0,0,69,0.47,0.46,0.00,441,20,32,69,17,14,7,3
150.7,hold,1,0,0,0,0,71,0.45,0.46,0.00,425,19,32,69,17,15,7,3
155.7,hold,1,0,0,0,0,73,0.47,0.46,0.00,425,20,33,66,17,15,8,3
160.7,hold,1,0,0,0,0,76,0.47,0.46,0.00,412,20,34,68,17,16,8,4
165.8,hold,1,0,0,0,0,77,0.45,0.46,0.00,412,19,34,68,17,16,8,4
170.8,hold,1,0,0,0,0,80,0.47,0.46,0.00,412,20,35,68,17,17,8,4
175.8,hold,1,0,0,0,0,82,0.47,0.46,0.00,423,20,36,66,17,17,8,4
180.8,hold,1,0,0,0,0,85,0.43,0.46,0.00,423,19,36,68,17,18,9,5
185.8,hold,1,0,0,0,0,87,0.45,0.46,0.00,441,20,37,69,17,18,9,5
190.8,hold,1,0,0,0,0,90,0.45,0.46,0.00,423,20,38,69,17,19,9,5
195.8,hold,1,0,0,0,0,91,0.43,0.46,0.00,423,19,38,70,17,19,9,5
200.9,hold,1,0,0,0,0,94,0.45,0.46,0.00,423,20,39,71,17,20,10,5
205.9,idle,0,0,0,0,1,95,0.43,0.46,0.00,423,18,41,81,20,20,10,5
