received_ts,session,message_id,created_ts,from_session,duplicate
1789770281.252,0,b832fb3c-c4ce-4394-b269-26d8ea2e719a,1789770277.000,,0
1789770299.320,0,d75f5fd8-1a89-4d4c-9e19-139e9acc943c,1789770297.000,,0
1789770302.331,0,d75f5fd8-1a89-4d4c-9e19-139e9acc943c,1789770297.000,,1
1789770320.388,0,f0166e9e-2d1e-4474-967e-ca1ccd9547c2,1789770317.000,,0
1789770341.451,0,cdcc1062-03f5-4424-8e4a-f759986c90af,1789770338.000,,0
1789770359.502,0,ce8ea07b-b877-499a-b04d-790758d33587,1789770358.000,,0
1789770362.510,0,ce8ea07b-b877-499a-b04d-790758d33587,1789770358.000,,1
1789770380.576,0,91e5637c-40c1-458c-976f-2dae27b93f48,1789770378.000,,0
1789770383.589,0,91e5637c-40c1-458c-976f-2dae27b93f48,1789770378.000,,1
1789770401.650,0,782a71b3-7820-4324-a0f3-f221288a92b1,1789770398.000,,0
1789770419.701,0,13b9dc33-aeb8-478c-980e-0ad98b7de621,1789770418.000,,0
1789770422.711,0,13b9dc33-aeb8-478c-980e-0ad98b7de621,1789770418.000,,1
1789770440.776,0,64948db5-8fca-4af8-84f5-c28df30e464b,1789770438.000,,0
1789770443.789,0,64948db5-8fca-4af8-84f5-c28df30e464b,1789770438.000,,1
1789770461.849,0,538b2654-9c9e-4602-9f38-44633a30391a,1789770458.000,,0
