received_ts,session,message_id,created_ts,from_session,duplicate
1789774854.490,0,c1a51842-f002-46a5-b7a0-fdb0518783e0,1789774851.000,,0
1789774857.513,0,c1a51842-f002-46a5-b7a0-fdb0518783e0,1789774851.000,,1
1789774875.602,0,46370abb-9735-429a-b9bd-0890db53f1a6,1789774871.000,,0
1789774895.731,0,1b73f81d-33a2-44a0-bc51-992021061aef,1789774891.000,,0
1789774913.865,0,28788c2d-3fd7-4402-84c2-3f4a7725d6d6,1789774911.000,,0
1789774916.888,0,28788c2d-3fd7-4402-84c2-3f4a7725d6d6,1789774911.000,,1
1789774935.019,0,706a2438-2c92-492d-a6e5-e91e39fc096e,1789774932.000,,0
1789774938.044,0,706a2438-2c92-492d-a6e5-e91e39fc096e,1789774932.000,,1
1789774956.155,0,512c2c5f-1211-416c-8f12-d17ce6ff3224,1789774952.000,,0
1789774974.260,0,85abc6f7-e4c3-4d57-a68b-fff65ee7b128,1789774972.000,,0
1789774977.283,0,85abc6f7-e4c3-4d57-a68b-fff65ee7b128,1789774972.000,,1
