--------- beginning of main
09-18 16:47:32.299 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:47:32.298Z ConnectionChanged(Reconnecting(14))
09-18 16:47:35.297 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:47:35.297Z ConnectionChanged(Reconnecting(15))
09-18 16:47:38.304 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:47:38.303Z ConnectionChanged(Reconnecting(16))
09-18 16:47:41.302 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:47:41.301Z ConnectionChanged(Reconnecting(17))
09-18 16:47:42.317 I/HEM96   (11188): HOLD t=100s state=Active conn=Reconnecting(17) events=28 reconnecting=17 batches=3 chats=3 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=61156
09-18 16:47:44.308 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:47:44.307Z ConnectionChanged(Reconnecting(18))
09-18 16:47:47.313 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:47:47.312Z ConnectionChanged(Reconnecting(19))
09-18 16:47:50.315 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:47:50.314Z ConnectionChanged(Reconnecting(20))
09-18 16:47:50.317 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:47:50.317Z ConnectionChanged(Disconnected)
09-18 16:47:52.336 I/HEM96   (11188): HOLD t=110s state=Active conn=Disconnected events=32 reconnecting=20 batches=3 chats=3 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=61340
09-18 16:47:53.320 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:47:53.319Z ConnectionChanged(Reconnecting(21))
09-18 16:48:02.326 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:48:02.325Z ConnectionChanged(Reconnecting(22))
09-18 16:48:02.350 I/HEM96   (11188): HOLD t=120s state=Active conn=Reconnecting(22) events=34 reconnecting=22 batches=3 chats=3 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=61540
09-18 16:48:12.359 I/HEM96   (11188): HOLD t=130s state=Active conn=Reconnecting(22) events=34 reconnecting=22 batches=3 chats=3 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=61564
09-18 16:48:14.338 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:48:14.337Z ConnectionChanged(Reconnecting(23))
09-18 16:48:22.373 I/HEM96   (11188): HOLD t=140s state=Active conn=Reconnecting(23) events=35 reconnecting=23 batches=3 chats=3 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=61632
09-18 16:48:32.390 I/HEM96   (11188): HOLD t=150s state=Active conn=Reconnecting(23) events=35 reconnecting=23 batches=3 chats=3 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=61640
09-18 16:48:38.357 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:48:38.356Z ConnectionChanged(Reconnecting(24))
09-18 16:48:42.402 I/HEM96   (11188): HOLD t=160s state=Active conn=Reconnecting(24) events=36 reconnecting=24 batches=3 chats=3 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=62044
09-18 16:48:52.416 I/HEM96   (11188): HOLD t=170s state=Active conn=Reconnecting(24) events=36 reconnecting=24 batches=3 chats=3 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=62088
09-18 16:49:02.428 I/HEM96   (11188): HOLD t=180s state=Active conn=Reconnecting(24) events=36 reconnecting=24 batches=3 chats=3 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=62020
09-18 16:49:12.436 I/HEM96   (11188): HOLD t=190s state=Active conn=Reconnecting(24) events=36 reconnecting=24 batches=3 chats=3 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=58702
09-18 16:49:22.453 I/HEM96   (11188): HOLD t=200s state=Active conn=Reconnecting(24) events=36 reconnecting=24 batches=3 chats=3 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=58710
09-18 16:49:26.792 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:26.791Z ConnectionChanged(Connected)
09-18 16:49:27.592 I/HEM96   (11188): HOLD CHAT id=79cf1fa9-dbab-4a17-b3df-6d6b911aa252 user=hem96-an created=2026-09-18T23:46:42Z received=2026-09-18T23:49:27.591Z dup=false text=LclientB-fixrun3 s0 n4 2026-09-18T23:46:
09-18 16:49:27.593 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:27.593Z ChatBatchReceived(messages=1 reactions=0 ids=79cf1fa9)
09-18 16:49:28.598 I/HEM96   (11188): HOLD CHAT id=7f4c5824-5657-4adb-8a23-1117fd2d8d74 user=hem96-an created=2026-09-18T23:46:52Z received=2026-09-18T23:49:28.597Z dup=false text=LclientB-fixrun3 s0 n5 2026-09-18T23:46:
09-18 16:49:28.601 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:28.599Z ChatBatchReceived(messages=1 reactions=0 ids=7f4c5824)
09-18 16:49:30.605 I/HEM96   (11188): HOLD CHAT id=349c8907-c3fa-4816-929e-4360389bb4a7 user=hem96-an created=2026-09-18T23:47:02Z received=2026-09-18T23:49:30.604Z dup=false text=LclientB-fixrun3 s0 n6 2026-09-18T23:47:
09-18 16:49:30.607 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:30.606Z ChatBatchReceived(messages=1 reactions=0 ids=349c8907)
09-18 16:49:31.611 I/HEM96   (11188): HOLD CHAT id=28e4c045-50dd-4128-8607-5e914253dbb6 user=hem96-an created=2026-09-18T23:47:12Z received=2026-09-18T23:49:31.609Z dup=false text=LclientB-fixrun3 s0 n7 2026-09-18T23:47:
09-18 16:49:31.613 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:31.612Z ChatBatchReceived(messages=1 reactions=0 ids=28e4c045)
09-18 16:49:32.468 I/HEM96   (11188): HOLD t=210s state=Active conn=Connected events=41 reconnecting=24 batches=7 chats=7 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=58169
09-18 16:49:32.615 I/HEM96   (11188): HOLD CHAT id=d74b619c-e592-4e71-b3ed-651e7a439e23 user=hem96-an created=2026-09-18T23:47:23Z received=2026-09-18T23:49:32.615Z dup=false text=LclientB-fixrun3 s0 n8 2026-09-18T23:47:
09-18 16:49:32.617 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:32.616Z ChatBatchReceived(messages=1 reactions=0 ids=d74b619c)
09-18 16:49:34.632 I/HEM96   (11188): HOLD CHAT id=d93ce93f-d196-438f-a250-698afded6dcd user=hem96-an created=2026-09-18T23:47:33Z received=2026-09-18T23:49:34.631Z dup=false text=LclientB-fixrun3 s0 n9 2026-09-18T23:47:
09-18 16:49:34.634 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:34.633Z ChatBatchReceived(messages=1 reactions=0 ids=d93ce93f)
09-18 16:49:35.643 I/HEM96   (11188): HOLD CHAT id=cebd5633-15d1-4427-ab07-16c151569e6e user=hem96-an created=2026-09-18T23:47:43Z received=2026-09-18T23:49:35.642Z dup=false text=LclientB-fixrun3 s0 n10 2026-09-18T23:47
09-18 16:49:35.645 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:35.644Z ChatBatchReceived(messages=1 reactions=0 ids=cebd5633)
09-18 16:49:36.649 I/HEM96   (11188): HOLD CHAT id=d391d33e-bfc1-479c-988e-0a92affbf7c9 user=hem96-an created=2026-09-18T23:47:53Z received=2026-09-18T23:49:36.648Z dup=false text=LclientB-fixrun3 s0 n11 2026-09-18T23:47
09-18 16:49:36.650 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:36.649Z ChatBatchReceived(messages=1 reactions=0 ids=d391d33e)
09-18 16:49:38.657 I/HEM96   (11188): HOLD CHAT id=b85e348a-ba19-4bed-9270-c79cb16a0d8d user=hem96-an created=2026-09-18T23:48:03Z received=2026-09-18T23:49:38.655Z dup=false text=LclientB-fixrun3 s0 n12 2026-09-18T23:48
09-18 16:49:38.659 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:38.658Z ChatBatchReceived(messages=1 reactions=0 ids=b85e348a)
09-18 16:49:39.666 I/HEM96   (11188): HOLD CHAT id=b41c3ec6-5890-4b73-adb1-5c61f5c94069 user=hem96-an created=2026-09-18T23:48:13Z received=2026-09-18T23:49:39.663Z dup=false text=LclientB-fixrun3 s0 n13 2026-09-18T23:48
