--------- beginning of main
09-18 15:41:06.775 I/HEM96   ( 6534): HOLD t=130s state=Active conn=Connected events=13 reconnecting=0 batches=6 chats=3 dup=3 streamUpdated=1 participants=0 polls=4 pss_kb=60878
09-18 15:41:16.786 I/HEM96   ( 6534): HOLD t=140s state=Active conn=Connected events=13 reconnecting=0 batches=6 chats=3 dup=3 streamUpdated=1 participants=0 polls=4 pss_kb=60910
09-18 15:41:26.795 I/HEM96   ( 6534): HOLD t=150s state=Active conn=Connected events=13 reconnecting=0 batches=6 chats=3 dup=3 streamUpdated=1 participants=0 polls=4 pss_kb=60922
09-18 15:41:36.132 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:41:36.131Z ConnectionChanged(Reconnecting(1))
09-18 15:41:36.806 I/HEM96   ( 6534): HOLD t=160s state=Active conn=Reconnecting(1) events=14 reconnecting=1 batches=6 chats=3 dup=3 streamUpdated=1 participants=0 polls=4 pss_kb=61297
09-18 15:41:37.985 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:41:37.984Z StreamUpdated(state=LIVE viewers=1)
09-18 15:41:37.986 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:41:37.985Z ConnectionChanged(Connected)
09-18 15:41:42.889 I/HEM96   ( 6534): HOLD CHAT id=797b38a9-4277-4064-994f-0888bb49c889 user=hem96-an created=2026-09-18T22:41:39Z received=2026-09-18T22:41:42.888Z dup=false text=LclientB-run6 s0 n16 2026-09-18T22:41:39
09-18 15:41:42.890 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:41:42.889Z ChatBatchReceived(messages=1 reactions=0 ids=797b38a9)
09-18 15:41:45.896 I/HEM96   ( 6534): HOLD CHAT id=797b38a9-4277-4064-994f-0888bb49c889 user=hem96-an created=2026-09-18T22:41:39Z received=2026-09-18T22:41:45.895Z dup=true text=LclientB-run6 s0 n16 2026-09-18T22:41:39
09-18 15:41:45.897 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:41:45.897Z ChatBatchReceived(messages=1 reactions=0 ids=797b38a9)
09-18 15:41:46.815 I/HEM96   ( 6534): HOLD t=170s state=Active conn=Connected events=18 reconnecting=1 batches=8 chats=4 dup=4 streamUpdated=2 participants=0 polls=4 pss_kb=58046
09-18 15:41:51.941 I/HEM96   ( 6534): HOLD CHAT id=c8e4ef35-91fb-4499-b6af-fcf00bed208c user=hem96-an created=2026-09-18T22:41:49Z received=2026-09-18T22:41:51.937Z dup=false text=LclientB-run6 s0 n17 2026-09-18T22:41:49
09-18 15:41:51.951 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:41:51.948Z ChatBatchReceived(messages=1 reactions=0 ids=c8e4ef35)
09-18 15:41:54.957 I/HEM96   ( 6534): HOLD CHAT id=c8e4ef35-91fb-4499-b6af-fcf00bed208c user=hem96-an created=2026-09-18T22:41:49Z received=2026-09-18T22:41:54.956Z dup=true text=LclientB-run6 s0 n17 2026-09-18T22:41:49
09-18 15:41:54.958 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:41:54.957Z ChatBatchReceived(messages=1 reactions=0 ids=c8e4ef35)
09-18 15:41:56.828 I/HEM96   ( 6534): HOLD t=180s state=Active conn=Connected events=20 reconnecting=1 batches=10 chats=5 dup=5 streamUpdated=2 participants=0 polls=4 pss_kb=58794
09-18 15:42:00.970 I/HEM96   ( 6534): HOLD CHAT id=08bd1b2c-ee89-4f6d-a441-778fcfa898cd user=hem96-an created=2026-09-18T22:41:59Z received=2026-09-18T22:42:00.969Z dup=false text=LclientB-run6 s0 n18 2026-09-18T22:41:59
09-18 15:42:00.971 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:42:00.971Z ChatBatchReceived(messages=1 reactions=0 ids=08bd1b2c)
09-18 15:42:03.976 I/HEM96   ( 6534): HOLD CHAT id=08bd1b2c-ee89-4f6d-a441-778fcfa898cd user=hem96-an created=2026-09-18T22:41:59Z received=2026-09-18T22:42:03.975Z dup=true text=LclientB-run6 s0 n18 2026-09-18T22:41:59
09-18 15:42:03.977 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:42:03.976Z ChatBatchReceived(messages=1 reactions=0 ids=08bd1b2c)
09-18 15:42:06.839 I/HEM96   ( 6534): HOLD t=190s state=Active conn=Connected events=22 reconnecting=1 batches=12 chats=6 dup=6 streamUpdated=2 participants=0 polls=4 pss_kb=59937
09-18 15:42:12.159 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:42:12.158Z StreamUpdated(state=LIVE viewers=2)
09-18 15:42:12.992 I/HEM96   ( 6534): HOLD CHAT id=511c38d9-d502-44bf-8251-ec1eab1f3d32 user=hem96-an created=2026-09-18T22:42:09Z received=2026-09-18T22:42:12.991Z dup=false text=LclientB-run6 s0 n19 2026-09-18T22:42:09
09-18 15:42:12.993 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:42:12.993Z ChatBatchReceived(messages=1 reactions=0 ids=511c38d9)
09-18 15:42:16.003 I/HEM96   ( 6534): HOLD CHAT id=511c38d9-d502-44bf-8251-ec1eab1f3d32 user=hem96-an created=2026-09-18T22:42:09Z received=2026-09-18T22:42:16.002Z dup=true text=LclientB-run6 s0 n19 2026-09-18T22:42:09
09-18 15:42:16.004 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:42:16.003Z ChatBatchReceived(messages=1 reactions=0 ids=511c38d9)
09-18 15:42:16.848 I/HEM96   ( 6534): HOLD t=200s state=Active conn=Connected events=25 reconnecting=1 batches=14 chats=7 dup=7 streamUpdated=3 participants=0 polls=4 pss_kb=60881
09-18 15:42:22.017 I/HEM96   ( 6534): HOLD CHAT id=11fa1802-50a7-4fa5-a03b-bb8b4e0569b9 user=hem96-an created=2026-09-18T22:42:19Z received=2026-09-18T22:42:22.016Z dup=false text=LclientB-run6 s0 n20 2026-09-18T22:42:19
09-18 15:42:22.018 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:42:22.018Z ChatBatchReceived(messages=1 reactions=0 ids=11fa1802)
