--------- beginning of main
09-18 16:41:53.818 I/HEM96   (10794): HOLD CHAT id=de971f22-bb23-4182-b9a0-7551d78f4d01 user=hem96-an created=2026-09-18T23:41:51Z received=2026-09-18T23:41:53.817Z dup=false text=LclientB-fixrun1 s0 n7 2026-09-18T23:41:
09-18 16:41:53.821 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:41:53.819Z ChatBatchReceived(messages=1 reactions=0 ids=de971f22)
09-18 16:42:02.145 I/HEM96   (10794): HOLD t=90s state=Active conn=Connected events=15 reconnecting=0 batches=7 chats=7 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=60613
09-18 16:42:05.849 I/HEM96   (10794): HOLD CHAT id=31fcbbe8-9755-4f9f-a60e-7605d4d3a255 user=hem96-an created=2026-09-18T23:42:02Z received=2026-09-18T23:42:05.848Z dup=false text=LclientB-fixrun1 s0 n8 2026-09-18T23:42:
09-18 16:42:05.850 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:42:05.849Z ChatBatchReceived(messages=1 reactions=0 ids=31fcbbe8)
09-18 16:42:12.157 I/HEM96   (10794): HOLD t=100s state=Active conn=Connected events=16 reconnecting=0 batches=8 chats=8 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=61637
09-18 16:42:12.232 I/HEM96   (10794): HOLD SENT id=706a2438-2c92-492d-a6e5-e91e39fc096e n=5 created=2026-09-18T23:42:12.158Z
09-18 16:42:14.875 I/HEM96   (10794): HOLD CHAT id=606c58de-ace1-464d-a03b-cce9e94d6a3e user=hem96-an created=2026-09-18T23:42:12Z received=2026-09-18T23:42:14.874Z dup=false text=LclientB-fixrun1 s0 n9 2026-09-18T23:42:
09-18 16:42:14.877 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:42:14.876Z ChatBatchReceived(messages=1 reactions=0 ids=606c58de)
09-18 16:42:22.247 I/HEM96   (10794): HOLD t=110s state=Active conn=Connected events=17 reconnecting=0 batches=9 chats=9 dup=0 streamUpdated=1 participants=0 polls=4 pss_kb=58013
09-18 16:42:23.908 I/HEM96   (10794): HOLD CHAT id=1ee02243-5061-43d3-8428-a6e7f5b55dca user=hem96-an created=2026-09-18T23:42:22Z received=2026-09-18T23:42:23.908Z dup=false text=LclientB-fixrun1 s0 n10 2026-09-18T23:42
09-18 16:42:23.910 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:42:23.909Z ChatBatchReceived(messages=1 reactions=0 ids=1ee02243)
09-18 16:42:31.653 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:42:31.651Z ParticipantsUpdated(host=a533e186 cohosts=0 guests=0 waiting=0 room=[hem96-an, fff4c1ac])
09-18 16:42:32.260 I/HEM96   (10794): HOLD t=120s state=Active conn=Connected events=19 reconnecting=0 batches=10 chats=10 dup=0 streamUpdated=1 participants=1 polls=4 pss_kb=59169
09-18 16:42:32.341 I/HEM96   (10794): HOLD SENT id=512c2c5f-1211-416c-8f12-d17ce6ff3224 n=6 created=2026-09-18T23:42:32.262Z
09-18 16:42:35.946 I/HEM96   (10794): HOLD CHAT id=55997144-c2cd-4874-8643-e4e52ea4e945 user=hem96-an created=2026-09-18T23:42:32Z received=2026-09-18T23:42:35.944Z dup=false text=LclientB-fixrun1 s0 n11 2026-09-18T23:42
09-18 16:42:35.948 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:42:35.947Z ChatBatchReceived(messages=1 reactions=0 ids=55997144)
09-18 16:42:42.352 I/HEM96   (10794): HOLD t=130s state=Active conn=Connected events=20 reconnecting=0 batches=11 chats=11 dup=0 streamUpdated=1 participants=1 polls=4 pss_kb=60041
09-18 16:42:44.981 I/HEM96   (10794): HOLD CHAT id=5d1d3176-cb16-4f03-a122-94f4de942ca2 user=hem96-an created=2026-09-18T23:42:42Z received=2026-09-18T23:42:44.980Z dup=false text=LclientB-fixrun1 s0 n12 2026-09-18T23:42
09-18 16:42:44.984 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:42:44.983Z ChatBatchReceived(messages=1 reactions=0 ids=5d1d3176)
09-18 16:42:52.365 I/HEM96   (10794): HOLD t=140s state=Active conn=Connected events=21 reconnecting=0 batches=12 chats=12 dup=0 streamUpdated=1 participants=1 polls=4 pss_kb=60845
09-18 16:42:52.443 I/HEM96   (10794): HOLD SENT id=85abc6f7-e4c3-4d57-a68b-fff65ee7b128 n=7 created=2026-09-18T23:42:52.366Z
09-18 16:42:53.998 I/HEM96   (10794): HOLD CHAT id=8f3320f5-d789-4580-afee-b3c5efc3dbd5 user=hem96-an created=2026-09-18T23:42:52Z received=2026-09-18T23:42:53.997Z dup=false text=LclientB-fixrun1 s0 n13 2026-09-18T23:42
09-18 16:42:53.999 I/HEM96   (10794): HOLD EVENT 2026-09-18T23:42:53.999Z ChatBatchReceived(messages=1 reactions=0 ids=8f3320f5)
